Problem,Win Length,Extra Routes,Times,Dist,Dels/route,Len Route,Time Route
B-n52-k7,4,1.085714286,5917.1,3117.306236,3.493150685,61.12365169,116.0215686
B-n56-k7,4,1.5,6519.1,3277.443499,3.142857143,59.5898818,118.5290909
B-n57-k7,4,1.2,7335.5,5098.163986,3.636363636,91.03864261,130.9910714
B-n57-k9,4,0.766666667,8677.8,6466.258012,3.522012579,115.4688931,154.9607143
B-n63-k10,4,1,9149,6722.970022,3.1,108.4350004,147.5645161
B-n64-k9,4,1.011111111,7340.5,3606.118514,3.480662983,57.23997641,116.515873
B-n66-k9,4,1.133333333,9323.2,6084.217367,3.385416667,93.60334411,143.4338462
B-n67-k10,4,1.04,8315.7,4310.637883,3.235294118,65.3126952,125.9954545
B-n68-k9,4,1.111111111,9351,6320.60482,3.526315789,94.33738537,139.5671642
B-n78-k10,4,1.37,9861.2,6220.905076,3.248945148,80.79097502,128.0675325
B-n31-k5,5,0.36,3555.8,1888.769615,4.411764706,62.95898718,118.5266667
B-n34-k5,5,0.52,3626.1,2368.685097,4.342105263,71.77833626,109.8818182
B-n35-k5,5,0.62,4131.1,3031.08221,4.197530864,89.14947677,121.5029412
B-n38-k6,5,0.616666667,4351.6,2522.902697,3.81443299,68.18655938,117.6108108
B-n39-k5,5,0.84,4146.4,2077.77096,4.130434783,54.67818315,109.1157895
B-n41-k6,5,1.083333333,5054.1,2794.973518,3.2,69.87433795,126.3525
B-n43-k6,5,0.833333333,4675.9,2587.063802,3.818181818,61.59675719,111.3309524
B-n44-k7,5,0.628571429,5187,3034.811353,3.771929825,70.57700821,120.627907
B-n45-k5,5,1.3,5481.2,2857.884005,3.826086957,64.95190921,124.5727273
B-n45-k6,5,0.85,5002.1,2413.620034,3.963963964,54.85500076,113.6840909
B-n50-k7,5,0.757142857,5736.2,2880.23147,3.983739837,58.78023407,117.0653061
B-n50-k8,5,0.7875,6864.3,4424.992335,3.426573427,90.30596602,140.0877551
B-n51-k7,5,0.885714286,6018.3,3691.186062,3.787878788,73.82372125,120.366
B-n52-k7,5,1.057142857,6101,3248.643476,3.541666667,63.69889169,119.627451
B-n56-k7,5,1.1,6001.9,3131.318545,3.741496599,56.93306445,109.1254545
B-n57-k7,5,1.171428571,7409.2,5210.546228,3.684210526,93.04546835,132.3071429
B-n57-k9,5,0.611111111,8200.9,6370.05634,3.862068966,113.7510061,146.4446429
B-n63-k10,5,0.79,8784.4,6613.37683,3.463687151,106.6673682,141.683871
B-n64-k9,5,0.988888889,7164.8,3551.449159,3.519553073,56.37220887,113.7269841
B-n66-k9,5,0.977777778,8283.6,6076.132068,3.651685393,93.47895489,127.44
B-n67-k10,5,0.71,7525.7,4372.488915,3.859649123,66.24983205,114.0257576
B-n68-k9,5,1.066666667,9178.6,6464.102569,3.602150538,96.47914282,136.9940299
B-n78-k10,5,1.12,9255.6,6246.380509,3.632075472,81.12182479,120.2025974
B-n31-k5,6,0.16,2534.3,1841.245088,5.172413793,61.37483627,84.47666667
B-n34-k5,6,0.42,3269,2488.352804,4.647887324,75.40463041,99.06060606
B-n35-k5,6,0.36,3773.2,2943.15978,5,86.56352295,110.9764706
B-n38-k6,6,0.216666667,3222.2,2304.127986,5.068493151,62.27372934,87.08648649
B-n39-k5,6,0.56,3512.5,2118.854451,4.871794872,55.75932764,92.43421053
B-n41-k6,6,0.633333333,4088.5,2696.050074,4.081632653,67.40125186,102.2125
B-n43-k6,6,0.433333333,3598.1,2557.235102,4.88372093,60.88655004,85.66904762
B-n44-k7,6,0.442857143,4185.9,2965.319972,4.257425743,68.96092957,97.34651163
B-n45-k5,6,0.9,4136,2696.990724,4.631578947,61.29524374,94
B-n45-k6,6,0.566666667,4028.4,2511.373026,4.680851064,57.07665968,91.55454545
B-n50-k7,6,0.771428571,4904.2,3055.043211,3.951612903,62.34782063,100.0857143
B-n50-k8,6,0.4375,5619.6,4318.035983,4.260869565,88.12318332,114.6857143
B-n51-k7,6,0.714285714,5204.5,3565.755885,4.166666667,71.31511771,104.09
B-n52-k7,6,0.728571429,4964.6,3146.484416,4.214876033,61.69577286,97.34509804
B-n56-k7,6,0.985714286,4777,3101.714933,3.956834532,56.39481696,86.85454545
B-n57-k7,6,0.757142857,6170.6,4793.957244,4.552845528,85.60637936,110.1892857
B-n57-k9,6,0.4,7179.5,5979.677866,4.444444444,106.7799619,128.2053571
B-n63-k10,6,0.44,7418.3,6405.822978,4.305555556,103.3197254,119.65
B-n64-k9,6,0.6,6209.5,3558.071738,4.375,56.47732918,98.56349206
B-n66-k9,6,0.733333333,7392.2,6077.588573,4.166666667,93.50136266,113.7261538
B-n67-k10,6,0.53,6534.3,4242.797704,4.31372549,64.2848137,99.00454545
B-n68-k9,6,0.7,7701.5,6286.004677,4.379084967,93.82096533,114.9477612
B-n78-k10,6,0.83,7928.6,6151.433755,4.207650273,79.88875007,102.9688312
B-n31-k5,7,0.04,2138.6,1731.478526,5.769230769,57.71595088,71.28666667
B-n34-k5,7,0.3,2908.3,2372.815804,5.076923077,71.90350921,88.13030303
B-n35-k5,7,0.3,3350.3,2888.42596,5.230769231,84.9537047,98.53823529
B-n38-k6,7,0.033333333,2844.6,2268.669212,5.967741935,61.31538411,76.88108108
B-n39-k5,7,0.54,2665.6,1994.229236,4.935064935,52.47971674,70.14736842
B-n41-k6,7,0.233333333,3152.3,2504.05216,5.405405405,62.601304,78.8075
B-n43-k6,7,0.433333333,3323.7,2450.218732,4.88372093,58.33854124,79.13571429
B-n44-k7,7,0.3,3702.9,2996.81559,4.725274725,69.69338581,86.11395349
B-n45-k5,7,0.64,3669.5,2649.625612,5.365853659,60.2187639,83.39772727
B-n45-k6,7,0.316666667,3083.2,2354.185187,5.569620253,53.5042088,70.07272727
B-n50-k7,7,0.3,3627,2723.347748,5.384615385,55.57852546,74.02040816
B-n50-k8,7,0.375,4564,4238.379085,4.454545455,86.49753234,93.14285714
B-n51-k7,7,0.328571429,4294.4,3587.828765,5.376344086,71.75657531,85.888
B-n52-k7,7,0.528571429,3807.2,3031.398217,4.76635514,59.43918072,74.65098039
B-n56-k7,7,0.457142857,3654.4,2902.406005,5.392156863,52.77101827,66.44363636
B-n57-k7,7,0.542857143,5319.3,4751.131154,5.185185185,84.84162776,94.9875
B-n57-k9,7,0.2,6169.7,5748.590484,5.185185185,102.6534015,110.1732143
B-n63-k10,7,0.32,6751.3,6283.790485,4.696969697,101.3514594,108.8919355
B-n64-k9,7,0.566666667,4898.3,3503.19119,4.468085106,55.60620936,77.75079365
B-n66-k9,7,0.4,6242,5633.445602,5.158730159,86.66839387,96.03076923
B-n67-k10,7,0.44,5387,4220.080404,4.583333333,63.94061218,81.62121212
B-n68-k9,7,0.433333333,6628.8,6180.916214,5.19379845,92.2524808,98.93731343
B-n78-k10,7,0.42,7080.1,5905.450845,5.422535211,76.69416682,91.94935065
B-n31-k5,8,0.02,2323.2,1746.698479,5.882352941,58.22328263,77.44
B-n34-k5,8,0.32,2796.3,2337.962705,5,70.8473547,84.73636364
