Problem,Win Length,Optimisation Criterion,Opt Routes,Avg Routes,Extra Routes,Times,Dist,Idle,Dels/route,Len Route,Time Route,% Idle
A-n39-k6,1,TIME,6,21.6,2.6,3969.6,3727.069337,393.1,1.759259259,98.08077202,104.4631579,0.09902761
A-n39-k6,1,DIST,6,16,1.666666667,6701.9,3122.39666,3722,2.375,82.16833317,176.3657895,0.555364897
A-n39-k6,1,IDLE,6,38,5.333333333,5390,5233.920694,0,1,137.7347551,141.8421053,0
A-n44-k7,1,ROUTES,7,16.9,1.414285714,7845.6,4727.67736,3479.2,2.544378698,109.9459851,182.455814,0.443458754
A-n44-k7,1,TIME,7,21.6,2.085714286,4739.8,4466.635136,1070.3,1.990740741,103.8752357,110.227907,0.225811216
A-n44-k7,1,DIST,7,17.3,1.471428571,7426,3675.976348,3851.7,2.485549133,85.48782204,172.6976744,0.518677619
A-n44-k7,1,IDLE,7,43,5.142857143,6423,6253.218087,0,1,145.4236764,149.372093,0
A-n45-k6,1,ROUTES,6,17.5,1.916666667,8259.2,5288.907245,3684.7,2.514285714,120.2024374,187.7090909,0.446132797
A-n45-k6,1,TIME,6,26.9,3.483333333,4775.3,4804.551371,1108.7,1.635687732,109.1943493,108.5295455,0.232173895
A-n45-k6,1,DIST,6,17.7,1.95,7297.8,3711.146758,3724.9,2.485875706,84.3442445,165.8590909,0.510414097
A-n45-k6,1,IDLE,6,44,6.333333333,6600,6426.665157,0,1,146.0605717,150,0
A-n45-k7,1,ROUTES,7,17.1,1.442857143,8166.2,5305.586658,3257.7,2.573099415,120.5815149,185.5954545,0.398924837
A-n45-k7,1,TIME,7,20.2,1.885714286,5374.5,4737.660659,996,2.178217822,107.6741059,122.1477273,0.185319565
A-n45-k7,1,DIST,7,18.2,1.6,7881.9,4295.77887,3728.7,2.417582418,97.63133796,179.1340909,0.473071214
A-n45-k7,1,IDLE,7,44,5.285714286,7842,7671.427863,0,1,174.3506332,178.2272727,0
A-n46-k7,1,ROUTES,7,17.3,1.471428571,8345.6,4843.972912,4089,2.601156069,107.6438425,185.4577778,0.489958781
A-n46-k7,1,TIME,7,25.5,2.642857143,4517.4,4376.127373,1433.6,1.764705882,97.24727495,100.3866667,0.317350688
A-n46-k7,1,DIST,7,18.8,1.685714286,6815.2,3454.492595,3763.6,2.393617021,76.7665021,151.4488889,0.552236178
A-n46-k7,1,IDLE,7,45,5.428571429,6241,6059.924364,0,1,134.6649859,138.6888889,0
A-n48-k7,1,ROUTES,7,19.1,1.728571429,9338.1,5804.342738,3937.4,2.460732984,123.496654,198.6829787,0.421648944
A-n48-k7,1,TIME,7,24.1,2.442857143,5928,5266.797763,1148.7,1.950207469,112.0595269,126.1276596,0.193775304
A-n48-k7,1,DIST,7,19.5,1.785714286,8390.5,4672.935407,3911.3,2.41025641,99.42415761,178.5212766,0.466158155
A-n48-k7,1,IDLE,7,47,5.714285714,8349,8155.398648,0,1,173.5191202,177.6382979,0
A-n53-k7,1,ROUTES,7,21.4,2.057142857,9917.4,6124.277872,4347.1,2.429906542,117.7745745,190.7192308,0.438330611
A-n53-k7,1,TIME,7,28.6,3.085714286,5942.7,5632.111306,1542.6,1.818181818,108.3098328,114.2826923,0.259578979
A-n53-k7,1,DIST,7,22,2.142857143,9320.9,4510.911172,4957.2,2.363636364,86.74829176,179.2480769,0.531837054
A-n53-k7,1,IDLE,7,52,6.428571429,7740,7539.76801,0,1,144.9955387,148.8461538,0
A-n54-k7,1,ROUTES,7,21.2,2.028571429,10541.4,6415.188724,4776.7,2.5,121.0412967,198.8943396,0.453137154
A-n54-k7,1,TIME,7,27,2.857142857,6673.7,5988.932508,1560.7,1.962962963,112.9987266,125.9188679,0.23385828
A-n54-k7,1,DIST,7,22.2,2.171428571,9729.4,5107.250312,4868.5,2.387387387,96.36321343,183.5735849,0.500390569
A-n54-k7,1,IDLE,7,53,6.571428571,8869,8662.381873,0,1,163.4411674,167.3396226,0
A-n55-k9,1,ROUTES,9,21.7,1.411111111,9932.3,5672.998707,5035.4,2.488479263,105.0555316,183.9314815,0.506972202
A-n55-k9,1,TIME,9,36.6,3.066666667,5707.6,5488.968248,1455.3,1.475409836,101.6475601,105.6962963,0.254975822
A-n55-k9,1,DIST,9,23.1,1.566666667,9109.1,4149.495023,5070.5,2.337662338,76.84250043,168.687037,0.556641161
A-n55-k9,1,IDLE,9,54,5,6786,6566.599187,0,1,121.6036886,125.6666667,0
A-n60-k9,1,ROUTES,9,24.2,1.688888889,11684.8,7154.71553,5017.5,2.438016529,121.2663649,198.0474576,0.429404012
A-n60-k9,1,TIME,9,33.3,2.7,7590.4,7027.437433,1994.2,1.771771772,119.109109,128.6508475,0.262726602
A-n60-k9,1,DIST,9,26.9,1.988888889,11030.3,5840.241925,5351.6,2.19330855,98.98715127,186.9542373,0.485172661
A-n60-k9,1,IDLE,9,59.1,5.566666667,9723,9494.652595,0,0.998307953,160.9263152,164.7966102,0
A-n61-k9,1,ROUTES,9,24.5,1.722222222,10500.5,5694.304743,5244.5,2.448979592,94.90507904,175.0083333,0.499452407
A-n61-k9,1,TIME,9,44.7,3.966666667,6203.7,5769.552162,562.4,1.342281879,96.1592027,103.395,0.090655577
A-n61-k9,1,DIST,9,27.2,2.022222222,10063.8,4313.337877,5843.8,2.205882353,71.88896462,167.73,0.580675292
A-n61-k9,1,IDLE,9,60,5.666666667,6942,6706.311698,0,1,111.7718616,115.7,0
A-n62-k8,1,ROUTES,8,24.7,2.0875,11915.4,7981.060251,5027.4,2.469635628,130.8370533,195.3344262,0.421924568
A-n62-k8,1,TIME,8,31.1,2.8875,8187.9,7298.75322,1392.3,1.961414791,119.6516921,134.2278689,0.170043601
A-n62-k8,1,DIST,8,25.9,2.2375,11020,6479.987803,4985.7,2.355212355,106.2293082,180.6557377,0.452422868
A-n62-k8,1,IDLE,8,61,6.625,10901,10659.26812,0,1,174.7421003,178.704918,0
A-n63-k9,1,ROUTES,9,26.5,1.944444444,13209.1,9187.278374,4912.4,2.339622642,148.1819093,213.05,0.371895133
A-n63-k9,1,TIME,9,27.5,2.055555556,9596.6,8146.095909,2349.4,2.254545455,131.3886437,154.783871,0.244815872
A-n63-k9,1,DIST,9,26.1,1.9,12610.7,7924.660472,5158.1,2.375478927,127.8171044,203.3983871,0.409025669
A-n63-k9,1,IDLE,9,62,5.888888889,13322,13082.90734,0,1,211.0146345,214.8709677,0
A-n63-k10,1,ROUTES,10,25.9,1.59,11507.6,6996.199246,5448.6,2.393822394,112.8419233,185.6064516,0.473478397
A-n63-k10,1,TIME,10,39.7,2.97,7194.2,6713.563246,1076.7,1.561712846,108.2832782,116.0354839,0.149662228
A-n63-k10,1,DIST,10,26.7,1.67,10414.9,5377.539003,5310.9,2.322097378,86.73450004,167.9822581,0.509932885
A-n63-k10,1,IDLE,10,62,5.2,8888,8641.685203,0,1,139.3820194,143.3548387,0
A-n64-k9,1,ROUTES,9,26.6,1.955555556,12997.1,8127.879429,5444.2,2.368421053,129.0139592,206.3031746,0.418878057
A-n64-k9,1,TIME,9,28.4,2.155555556,8871.3,7485.000209,1795.9,2.218309859,118.8095271,140.8142857,0.202439327
A-n64-k9,1,DIST,9,29.3,2.255555556,12648.5,7274.121682,5627,2.150170648,115.4622489,200.7698413,0.444874886
A-n64-k9,1,IDLE,9,63,6,11689,11448.13067,0,1,181.7163598,185.5396825,0
A-n65-k9,1,ROUTES,9,27.5,2.055555556,12083.7,7190.637136,5498.9,2.327272727,112.3537052,188.8078125,0.45506757
A-n65-k9,1,TIME,9,42.7,3.744444444,7468.3,7045.650088,1144.1,1.49882904,110.0882826,116.6921875,0.153194167
A-n65-k9,1,DIST,9,28.4,2.155555556,11556.7,5386.246593,6331.4,2.253521127,84.16010301,180.5734375,0.547855357
A-n65-k9,1,IDLE,9,64,6.111111111,8836,8584.405465,0,1,134.1313354,138.0625,0
A-n69-k9,1,ROUTES,9,29,2.222222222,12160.6,7208.467277,5706,2.344827586,106.0068717,178.8323529,0.469220269
A-n69-k9,1,TIME,9,49.8,4.533333333,7541,7195.258697,1251.8,1.365461847,105.8126279,110.8970588,0.165999204
A-n69-k9,1,DIST,9,29.7,2.3,11799.7,5495.878953,6521.5,2.28956229,80.82174931,173.525,0.552683543
A-n69-k9,1,IDLE,9,68,6.555555556,8538,8270.664106,0,1,121.6274133,125.5588235,0
A-n80-k10,1,ROUTES,10,35.1,2.51,18273.3,11732.90258,7429.8,2.250712251,148.5177542,231.3075949,0.406593226
A-n80-k10,1,TIME,10,39.6,2.96,12846,11209.11,3163.7,1.994949495,141.8874684,162.6075949,0.246278997
A-n80-k10,1,DIST,10,35.5,2.55,17497.2,10861.31113,7375.3,2.225352113,137.484951,221.4835443,0.421513156
A-n80-k10,1,IDLE,10,79,6.9,17037,16730.71287,0,1,211.7811756,215.6582278,0
B-n31-k5,1,ROUTES,5,10.2,1.04,5405.8,2962.657777,2582.2,2.941176471,98.75525923,180.1933333,0.47767213
B-n31-k5,1,TIME,5,10.2,1.04,3246.2,2659.300891,816.7,2.941176471,88.64336303,108.2066667,0.25158647
B-n31-k5,1,DIST,5,9.4,0.88,4765,2189.535801,2568.1,3.191489362,72.98452668,158.8333333,0.538950682
B-n31-k5,1,IDLE,5,30,5,5400,5283.500043,0,1,176.1166681,180,0
B-n34-k5,1,ROUTES,5,11.7,1.34,6200.5,3647.096812,2800.5,2.820512821,110.5180852,187.8939394,0.451657124
B-n34-k5,1,TIME,5,11.8,1.36,3757.9,3091.033825,775.5,2.796610169,93.66769167,113.8757576,0.206365257
B-n34-k5,1,DIST,5,11.7,1.34,5392.9,2803.506131,2635.9,2.820512821,84.95473123,163.4212121,0.488772275
B-n34-k5,1,IDLE,5,33,5.6,6177,6055.265952,0,1,183.4929076,187.1818182,0
B-n35-k5,1,ROUTES,5,12.4,1.48,7169.1,4865.171053,2637.4,2.741935484,143.0932663,210.8558824,0.367884393
B-n35-k5,1,TIME,5,13.2,1.64,4573.1,4119.015774,1482.5,2.575757576,121.1475228,134.5029412,0.324178347
B-n35-k5,1,DIST,5,11.2,1.24,6278.7,3220.341184,3092,3.035714286,94.71591717,184.6676471,0.49245863
B-n35-k5,1,IDLE,5,34,5.8,7806,7667.776261,0,1,225.5228312,229.5882353,0
B-n38-k6,1,ROUTES,6,13.6,1.266666667,6598.6,4030.013426,3030.4,2.720588235,108.9192818,178.3405405,0.459248932
