prob,size,demand,avg bags,winlen,dist,time,costDel,getRoutes,getCost,dels/route,loadFactor
A-n45-k6.vrp,45,593,13,1,3477.142695,5514,6.417581274,14,3805.625695,3,42.35714286
A-n45-k6.vrp,45,593,13,1,3483.675101,5282,6.340623924,14,3759.989987,3,42.35714286
A-n45-k6.vrp,45,593,13,1,3621.60386,5063,6.293975804,14,3732.327652,3,42.35714286
A-n45-k6.vrp,45,593,13,1,3601.883288,4968,7.087724021,17,4203.020345,2,34.88235294
A-n45-k6.vrp,45,593,13,1,3783.243972,4892,7.650994173,19,4537.039545,2,31.21052632
A-n45-k6.vrp,45,593,13,1,4045.559036,4619,6.227875898,14,3693.130407,3,42.35714286
A-n45-k6.vrp,45,593,13,1,4206.251893,4613,6.810677018,16,4038.731471,2,37.0625
A-n45-k6.vrp,45,593,13,1,4124.367178,4549,7.049495716,17,4180.35096,2,34.88235294
A-n45-k6.vrp,45,593,13,1,4018.817537,4684,5.967962313,13,3539.001652,3,45.61538462
A-n45-k6.vrp,45,593,13,1,3815.573022,4723,5.664455386,12,3359.022044,3,49.41666667
A-n45-k6.vrp,45,593,13,14,2903.012488,2622,3.393005837,7,2012.052461,6,84.71428571
A-n45-k6.vrp,45,593,13,14,3968.321621,2428,3.537763288,7,2097.89363,6,84.71428571
A-n45-k7.vrp,45,634,14,1,3623.768826,6761,7.199023585,17,4564.180953,2,37.29411765
A-n45-k7.vrp,45,634,14,1,4214.887474,4965,6.224198477,15,3946.141834,3,42.26666667
A-n45-k7.vrp,45,634,14,1,4004.738456,5267,6.022010094,14,3817.954399,3,45.28571429
A-n45-k7.vrp,45,634,14,1,3763.533973,5913,6.181283083,14,3918.933475,3,45.28571429
A-n45-k7.vrp,45,634,14,1,3792.393777,5879,6.434558473,15,4079.510072,3,42.26666667
A-n45-k7.vrp,45,634,14,1,3871.076181,5549,6.60365286,16,4186.715913,2,39.625
A-n45-k7.vrp,45,634,14,1,3837.782593,5861,6.437256409,15,4081.220563,3,42.26666667
A-n45-k7.vrp,45,634,14,1,3738.623713,6059,6.481417941,15,4109.218974,3,42.26666667
A-n45-k7.vrp,45,634,14,1,3921.566855,5548,6.871330161,17,4356.423322,2,37.29411765
A-n45-k7.vrp,45,634,14,1,3998.78963,5377,6.831637834,17,4331.258387,2,37.29411765
A-n45-k7.vrp,45,634,14,1,3846.266883,5679,6.381408873,15,4045.813225,3,42.26666667
A-n45-k7.vrp,45,634,14,1,3728.179398,6072,5.966241308,13,3782.59699,3,48.76923077
A-n45-k7.vrp,45,634,14,1,4795.778014,4880,6.821933798,17,4325.106028,2,37.29411765
A-n45-k7.vrp,45,634,14,1,4628.320467,5168,5.329832011,11,3379.113495,4,57.63636364
A-n45-k7.vrp,45,634,14,1,4638.90654,4994,5.535571081,12,3509.552065,3,52.83333333
A-n45-k7.vrp,45,634,14,1,4732.842816,4942,6.053852696,14,3838.142609,3,45.28571429
A-n45-k7.vrp,45,634,14,1,4832.576304,4913,5.545759349,12,3516.011428,3,52.83333333
A-n45-k7.vrp,45,634,14,1,4296.003718,5584,5.399735702,11,3423.432435,4,57.63636364
A-n45-k7.vrp,45,634,14,1,4385.821398,5143,5.535869248,12,3509.741104,3,52.83333333
