Problem,Deliveries,Demand,Avg.Bags.Del,Time Window,Sol. Distance, Sol. Time,Sol. CostDel,Routes,Sol. Cost,Sol. Avg. Dels Route,Sol. Loading Factor
0,1,2,3,4,5,6,7,8,9,
Grand front ,1,A-n32-k5.vrp,n,16,obj0Min,2912.887378172762,obj0Max,3528.3135761196777,obj1Min,2886.0,obj1Max,4327.0,obj2Min,5.554033146622436,obj2Max,8.100506885966373
A-n32-k5,32,410,12.0,1,3067.9283283144277,3701.0,6.280847840031191,9,2575.1476144127882,3,45.55555555555556
A-n32-k5,32,410,12.0,1,3103.3405751593777,3472.0,6.179245969008895,9,2533.490847293647,3,45.55555555555556
A-n32-k5,32,410,12.0,1,2966.7522096127577,4327.0,6.957341484206568,10,2852.5100085246927,3,41.0
A-n32-k5,32,410,12.0,1,2983.6385914077364,4064.0,6.433867598035867,9,2637.8857151947054,3,45.55555555555556
A-n32-k5,32,410,12.0,1,3005.5952820558027,4072.0,6.0440357268305585,8,2478.054648000529,4,51.24999999999999
A-n32-k5,32,410,12.0,1,3012.3043481936875,3726.0,5.877169777411369,8,2409.6396087386615,4,51.24999999999999
A-n32-k5,32,410,12.0,1,3012.0811277281923,3777.0,6.301984126693167,9,2583.8134919441986,3,45.55555555555556
A-n32-k5,32,410,12.0,1,3427.3982491321644,2894.0,5.989769744264545,9,2455.8055951484635,3,45.55555555555556
A-n32-k5,32,410,12.0,1,3528.3135761196777,2886.0,6.814665093673177,11,2794.012688406003,2,37.27272727272727
A-n32-k5,32,410,12.0,1,3195.071673089009,3140.0,5.6434716725644245,8,2313.823385751414,4,51.24999999999999
A-n32-k5,32,410,12.0,1,3286.7828214974234,2903.0,5.554033146622436,8,2277.1535901151988,4,51.24999999999999
A-n32-k5,32,410,12.0,1,2912.887378172762,4242.0,8.100506885966373,13,3321.207823246213,2,31.538461538461537
A-n32-k5,32,410,12.0,1,2921.3381799401886,4186.0,7.675601383056102,12,3146.996567053002,2,34.166666666666664
A-n32-k5,32,410,12.0,1,2938.2555012108933,4145.0,7.660429008882133,12,3140.7758936416744,2,34.166666666666664
A-n32-k5,32,410,12.0,1,2955.6707462844624,4138.0,7.661984091012883,12,3141.413477315282,2,34.166666666666664
A-n32-k5,32,410,12.0,1,2960.490668330439,3951.0,7.172140019986978,11,2940.577408194661,2,37.27272727272727
Front Sizes,A-n32-k5,16.0,8.0,11.0,6.0,3.0,15.0,8.0,4.0,7.0,3.0,2.0,1.0,1.0,5.0,
0,1,2,3,4,5,6,7,8,9,
Grand front ,14,A-n33-k5.vrp,n,3,obj0Min,1842.820295143872,obj0Max,1909.7010882530099,obj1Min,1664.0,obj1Max,1683.0,obj2Min,3.0725198869249537,obj2Max,3.4444169832552314
A-n33-k5,33,446,13.0,14,1854.2211074233262,1667.0,3.0725198869249537,5,1370.3438695685293,6,89.2
A-n33-k5,33,446,13.0,14,1842.820295143872,1683.0,3.4444169832552314,6,1536.2099745318333,5,74.33333333333333
A-n33-k5,33,446,13.0,14,1909.7010882530099,1664.0,3.085728760819736,5,1376.2350273256022,6,89.2
0,1,2,3,4,5,6,7,8,9,
Grand front ,13,A-n33-k5.vrp,n,1,obj0Min,1660.4047493088297,obj0Max,1660.4047493088297,obj1Min,1546.0,obj1Max,1546.0,obj2Min,2.9674155956707025,obj2Max,2.9674155956707025
A-n33-k5,33,446,13.0,13,1660.4047493088297,1546.0,2.9674155956707025,5,1323.4673556691332,6,89.2
0,1,2,3,4,5,6,7,8,9,
Grand front ,12,A-n33-k5.vrp,n,2,obj0Min,1863.7834945646791,obj0Max,1870.0400538182387,obj1Min,1695.0,obj1Max,1709.0,obj2Min,3.0892257540285515,obj2Max,3.093862486242304
A-n33-k5,33,446,13.0,12,1870.0400538182387,1695.0,3.0892257540285515,5,1377.794686296734,6,89.2
A-n33-k5,33,446,13.0,12,1863.7834945646791,1709.0,3.093862486242304,5,1379.8626688640675,6,89.2
0,1,2,3,4,5,6,7,8,9,
Grand front ,11,A-n33-k5.vrp,n,2,obj0Min,1722.7732255750107,obj0Max,1730.273535610534,obj1Min,1574.0,obj1Max,1581.0,obj2Min,2.998300456651194,obj2Max,2.9994718999826824
A-n33-k5,33,446,13.0,11,1722.7732255750107,1581.0,2.9994718999826824,5,1337.7644673922764,6,89.2
A-n33-k5,33,446,13.0,11,1730.273535610534,1574.0,2.998300456651194,5,1337.2420036664325,6,89.2
0,1,2,3,4,5,6,7,8,9,
Grand front ,10,A-n33-k5.vrp,n,3,obj0Min,1884.3365668704778,obj0Max,1997.8608324327975,obj1Min,1842.0,obj1Max,2038.0,obj2Min,3.1886764964005323,obj2Max,4.3440076941404175
A-n33-k5,33,446,13.0,10,1884.3365668704778,2038.0,3.614500848259744,6,1612.0673783238458,5,74.33333333333333
A-n33-k5,33,446,13.0,10,1997.8608324327975,1842.0,3.1886764964005323,5,1422.1497173946375,6,89.2
A-n33-k5,33,446,13.0,10,1991.6874494583426,1962.0,4.3440076941404175,8,1937.4274315866262,4,55.75
0,1,2,3,4,5,6,7,8,9,
Grand front ,9,A-n33-k5.vrp,n,3,obj0Min,1834.586099202515,obj0Max,1921.3091024785394,obj1Min,1810.0,obj1Max,1876.0,obj2Min,3.1542447645515455,obj2Max,3.1680253768290427
A-n33-k5,33,446,13.0,9,1834.586099202515,1876.0,3.1610909722123193,5,1409.8465736066944,6,89.2
A-n33-k5,33,446,13.0,9,1920.8488723568632,1841.0,3.1680253768290427,5,1412.939318065753,6,89.2
A-n33-k5,33,446,13.0,9,1921.3091024785394,1810.0,3.1542447645515455,5,1406.7931649899892,6,89.2
0,1,2,3,4,5,6,7,8,9,
Grand front ,8,A-n33-k5.vrp,n,7,obj0Min,1786.6907301324163,obj0Max,1987.4853510119483,obj1Min,1765.0,obj1Max,2074.0,obj2Min,3.1391626605447875,obj2Max,3.964516953819111
A-n33-k5,33,446,13.0,8,1786.6907301324163,2074.0,3.605028734137876,6,1607.8428154254927,5,74.33333333333333
A-n33-k5,33,446,13.0,8,1808.3295846437902,2043.0,3.964516953819111,7,1768.1745614033234,4,63.714285714285715
A-n33-k5,33,446,13.0,8,1883.6850545115271,1802.0,3.876213343896522,7,1728.7911513778488,4,63.714285714285715
A-n33-k5,33,446,13.0,8,1848.4320222476515,1819.0,3.1391626605447875,5,1400.0665466029752,6,89.2
A-n33-k5,33,446,13.0,8,1913.1288715305636,1765.0,3.4996324618140715,6,1560.8360779690759,5,74.33333333333333
A-n33-k5,33,446,13.0,8,1867.0111516727643,1815.0,3.142242835752721,5,1401.4403047457135,6,89.2
A-n33-k5,33,446,13.0,8,1987.4853510119483,1813.0,3.1729501929784707,5,1415.135786068398,6,89.2
0,1,2,3,4,5,6,7,8,9,
Grand front ,7,A-n33-k5.vrp,n,14,obj0Min,1947.5607490650002,obj0Max,2352.886073598306,obj1Min,2008.0,obj1Max,2590.0,obj2Min,3.3939185439708566,obj2Max,5.911613032224916
A-n33-k5,33,446,13.0,7,1985.0240861957611,2479.0,3.838672237858529,6,1712.047818084904,5,74.33333333333333
A-n33-k5,33,446,13.0,7,1947.5607490650002,2590.0,4.246333200987904,7,1893.864607640605,4,63.714285714285715
A-n33-k5,33,446,13.0,7,2064.781302327457,2135.0,5.911613032224916,12,2636.5794123723126,2,37.166666666666664
