prob,winlen,dist,time,costDel,routes
A-n45-k7.vrp,1,3921.566855,5548,6.871330161,17
A-n45-k7.vrp,1,3998.78963,5377,6.831637834,17
A-n45-k7.vrp,1,3846.266883,5679,6.381408873,15
A-n45-k7.vrp,1,3728.179398,6072,5.966241308,13
A-n45-k7.vrp,1,4795.778014,4880,6.821933798,17
A-n45-k7.vrp,1,4628.320467,5168,5.329832011,11
A-n45-k7.vrp,1,4638.90654,4994,5.535571081,12
A-n45-k7.vrp,1,4732.842816,4942,6.053852696,14
A-n45-k7.vrp,1,4832.576304,4913,5.545759349,12
A-n45-k7.vrp,1,4296.003718,5584,5.399735702,11
A-n45-k7.vrp,1,4385.821398,5143,5.535869248,12
A-n45-k7.vrp,1,4310.667777,5280,5.306542792,11
A-n45-k7.vrp,1,4485.702091,4909,6.77385985,17
A-n45-k7.vrp,1,4055.925598,5214,5.497386901,12
A-n45-k7.vrp,1,4104.993453,5033,5.708019297,13
A-n45-k7.vrp,1,4292.186583,5013,5.994930332,14
A-n45-k7.vrp,14,3340.755794,2935,3.353104776,7
A-n46-k7.vrp,1,3803.904754,4018,6.150343045,15
A-n46-k7.vrp,1,3123.529493,7063,7.300253649,16
A-n46-k7.vrp,1,3503.926626,5180,5.933597704,13
A-n46-k7.vrp,1,3530.255791,5162,5.932736198,13
A-n46-k7.vrp,1,3483.916072,4985,6.137011908,14
A-n46-k7.vrp,1,3451.948719,4908,6.921190713,17
A-n46-k7.vrp,1,3470.666554,4880,6.643562167,16
A-n46-k7.vrp,1,3585.41285,4809,6.370303986,15
A-n46-k7.vrp,1,3555.499972,4635,6.578762018,16
A-n46-k7.vrp,1,3399.530604,4996,6.668233965,16
A-n46-k7.vrp,1,3588.099915,4940,6.14230131,14
A-n46-k7.vrp,1,3705.418034,5214,5.440023068,11
A-n46-k7.vrp,1,3640.694193,5405,5.762788094,12
A-n46-k7.vrp,1,3580.56095,5520,5.78926307,12
A-n46-k7.vrp,1,3824.174879,4002,6.420942721,16
A-n46-k7.vrp,1,3750.337589,4051,6.422868156,16
A-n46-k7.vrp,1,3754.073287,4289,6.230558167,15
A-n46-k7.vrp,1,3718.99232,4714,5.548792871,12
A-n46-k7.vrp,1,3630.951478,4455,5.989753438,14
A-n46-k7.vrp,1,3847.644178,4245,5.690173083,13
A-n46-k7.vrp,1,3644.642846,4365,5.69058576,13
A-n46-k7.vrp,1,3787.865283,4088,5.89847469,14
